cod_type	description	cod
3	3333-3333	1
3	4444-4444	2
3	5555-5555	3
3	6546-5555	4
3	2229-4987	5
3	3333-9999	6
3	3222-7666	7
3	2225-7777	8
3	4443-2222	9
3	2435-7776	10
1	AnaVI@gmail.com	11
1	GustavoB@jourrapide.com	12
1	LolaMacR@jourrapide.com	13
1	jenni_A@hmail.com	14
1	CrisW@teleworm.us	15
1	Jcampell@teleworm.com	16
1	TerhiLinds@teleworm.us	17
1	Kath@armyspy.com	18
1	AnaC@teleworms.us	19
1	Apatel@armyspy.com	20
1	DemiD@dayrep.com	21
1	NiSRavn@rhyta.com	22
1	GiulioM@jourrapide.com	23
2	9076-4562	24
2	786-5409	25
2	875-4076	26
2	7860-5490	27
2	8976-5432	28
2	6754-0987	29
2	9867-8762	30
2	3456-0890	31
2	2543-2796	32
2	2354-3098	33
2	7651-4897	34
2	9871-4653	35
2	5876-3290	36
2	1234-0987	37
2	5432-9876	38
2	7654-9876	39
2	8976-0985	40
2	6789-0543	41
2	4567-8990	42
2	6789-5431	43
2		
